gain,delay,p_mix,phase,phase_code,max_acceleration,max_velocity,final_variance
1.04,4,0.5,IRRECOVERABLE,3,0.037953,0.043174,0.314102
1.06,4,0.5,IRRECOVERABLE,3,0.217326,0.292272,2.421479
1.08,4,0.5,IRRECOVERABLE,3,1.827985,2.944619,20.624345
1.0,5,0.5,RECOVERABLE,1,0.00618,0.005716,0.013457
1.02,5,0.5,RECOVERABLE,1,0.009122,0.008933,0.052728
1.04,5,0.5,IRRECOVERABLE,3,0.031141,0.038887,0.355887
1.06,5,0.5,IRRECOVERABLE,3,0.187715,0.301167,2.958983
1.08,5,0.5,IRRECOVERABLE,3,1.186956,3.604611,25.770362
1.0,6,0.5,RECOVERABLE,1,0.008969,0.008132,0.030386
1.02,6,0.5,IRRECOVERABLE,3,0.023202,0.014337,0.112257
1.04,6,0.5,IRRECOVERABLE,3,0.087582,0.063714,0.626149
1.06,6,0.5,IRRECOVERABLE,3,0.403464,0.530163,4.426458
1.08,6,0.5,IRRECOVERABLE,3,2.085682,5.070136,34.695627
1.0,7,0.5,RECOVERABLE,1,0.010249,0.009742,0.025533
1.02,7,0.5,IRRECOVERABLE,3,0.024921,0.016852,0.118426
1.04,7,0.5,IRRECOVERABLE,3,0.106772,0.074238,0.789969
1.06,7,0.5,IRRECOVERABLE,3,0.696919,0.664748,6.260504
